BasinID,YEAR,MONTH,Ppt_mm,Tavg_C
2,1953,5,88.1365,3.79563
2,1953,6,150.217,5.78543
2,1953,7,207.195,6.89392
2,1953,8,114.616,9.45465
2,1953,9,116.92,4.5213
2,1953,10,25.7949,2.20635
2,1953,11,0.0512348,-1.61527
2,1953,12,0.637072,-3.59085
2,1954,1,2.43805,-3.53692
2,1954,2,5.70694,-0.705543
2,1954,3,10.1277,-3.36411
2,1954,4,59.1347,2.18538
2,1954,5,111.717,3.20067
2,1954,6,174.134,5.70222
2,1954,7,157.017,7.54969
2,1954,8,150.169,6.44303
2,1954,9,186.177,4.74032
2,1954,10,48.2022,0.740154
2,1954,11,0.228986,-1.10207
2,1954,12,2.48918,-7.69265
2,1955,1,0.855859,-8.05538
2,1955,2,2.75366,-3.89032
2,1955,3,17.4575,-0.466359
2,1955,4,21.5817,0.0696424
2,1955,5,53.0392,2.64412
2,1955,6,130.41,4.78398
2,1955,7,148.966,7.6418
2,1955,8,98.3205,8.05249
2,1955,9,147.472,6.60646
2,1955,10,51.3442,2.15634
2,1955,11,8.54751,-2.97716
2,1955,12,1.13216,-4.46264
2,1956,1,0.167565,-6.82468
2,1956,2,6.39767,-4.09685
2,1956,3,14.9089,-0.275824
2,1956,4,28.4168,1.60969
2,1956,5,62.9215,2.81874
2,1956,6,212.467,6.3771
